CBSA Code,Metro Division Code,Metropolitan statistical areas,Census,Estimates base,2010,2011,2012
34820,,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","376,722","376,722","378,604","385,910","394,542"
34900,,"Napa, CA","136,484","136,484","136,824","137,977","139,045"
34940,,"Naples-Immokalee-Marco Island, FL","321,520","321,520","322,666","327,519","332,427"
34980,,"Nashville-Davidson--Murfreesboro--Franklin, TN","1,670,890","1,670,890","1,675,886","1,698,348","1,726,693"
35100,,"New Bern, NC","126,802","126,802","127,079","128,075","128,119"
35300,,"New Haven-Milford, CT","862,477","862,474","862,703","862,812","862,813"
35380,,"New Orleans-Metairie, LA","1,189,866","1,189,863","1,195,466","1,213,488","1,227,096"
35620,,"New York-Newark-Jersey City, NY-NJ-PA","19,567,410","19,567,407","19,598,491","19,729,930","19,831,858"
35620,20524,".Dutchess County-Putnam County, NY","397,198","397,198","397,556","398,125","396,929"
35620,35004,".Nassau County-Suffolk County, NY","2,832,882","2,832,879","2,836,048","2,846,165","2,848,506"
35620,35084,".Newark, NJ-PA","2,471,171","2,471,170","2,474,314","2,482,701","2,488,817"
35620,35614,".New York-Jersey City-White Plains, NY-NJ","13,866,159","13,866,160","13,890,573","14,002,939","14,097,606"
35660,,"Niles-Benton Harbor, MI","156,813","156,813","156,799","156,489","156,067"
35840,,"North Port-Sarasota-Bradenton, FL","702,281","702,281","703,568","709,037","720,042"
35980,,"Norwich-New London, CT","274,055","274,055","274,092","274,091","274,170"
36100,,"Ocala, FL","331,298","331,298","331,407","332,472","335,125"
36140,,"Ocean City, NJ","97,265","97,265","97,282","96,562","96,304"
36220,,"Odessa, TX","137,130","137,130","137,056","139,588","144,325"
36260,,"Ogden-Clearfield, UT","597,159","597,159","599,708","605,786","612,441"
36420,,"Oklahoma City, OK","1,252,987","1,252,992","1,257,927","1,275,821","1,296,565"
36500,,"Olympia-Tumwater, WA","252,264","252,264","253,043","256,406","258,332"
36540,,"Omaha-Council Bluffs, NE-IA","865,350","865,350","868,116","877,171","885,624"
36740,,"Orlando-Kissimmee-Sanford, FL","2,134,411","2,134,411","2,139,583","2,175,004","2,223,674"
36780,,"Oshkosh-Neenah, WI","166,994","166,994","167,078","167,708","168,794"
36980,,"Owensboro, KY","114,752","114,755","114,806","115,394","116,030"
37100,,"Oxnard-Thousand Oaks-Ventura, CA","823,318","823,318","825,378","831,126","835,981"
37340,,"Palm Bay-Melbourne-Titusville, FL","543,376","543,372","543,978","544,322","547,307"
37460,,"Panama City, FL","184,715","184,715","185,128","185,500","187,621"
